a	एक
acquittal	विमोचन,दोषमोचन,छुटकारा
acquittance	चुकौती,भुगतान,रिहाई,भरपाई
acre	एकड़ क्षेत्रफल,रकबा
acreage	एकड़वार क्षेत्रफल
acrid	तिक्त,तीता,कटुतिक्त
acridity	तिक्तता,कटुता
acrimonious	उग्र,कटु,प्रचण्ड
acrimoniously	कटुतापूर्ण ढंग से
acrimony	कड़वाहट,कडुवापन
acritical	संकटहीन
acrobat	कलाबाज
acrobatic	नटीय
acrobatics	कलाबाजी
acrolith	काष्ठोपल मुर्ति
acronym	परिवर्णी शब्द
acropetal	अग्राभिसारी
acrophobia	उत्तंगता-भीति,डर
across	पार,उस पार,आरपार,आड़ा,तिरछा
acrostic	परिवर्णी काव्य
acrylic	ऐक्रिलिक,ऐक्रिलिक,ऐक्रिलिक
acrylonitrile	एक्राइलोनाइट्राइल
act	कार्य,कर्म,कृत्य,क्रिया,अधिनियम,प्रर्दशन,व्यवहार,अभिनय
acting	कार्यकारी,कार्यवाही,अभिनय,क्रियाशील
actinic	विकिरणशील,किरण क्रियाशीलता
actinomycosis	विकिरणरुग्णता
actinotherapy	विकिरण चिकित्सा,सूर्यरश्मि.चिकित्सा
action	क्रिया,कार्य,असर,प्रभाव,कार्यवाही,क्रियाविधि
actionable	वाद योग्य,कानूनी कर्यवाही करने योग्य
activate	पे्ररिेत करना,सक्रिय करना
activation	सक्रियण,उत्पे्ररण
activator	उत्प्रेरक
active	सक्रिय,क्रियाशील,कर्तृ
actively	सक्रियता से,सक्रिय रुप से
activeness	सक्रियता
activism	सक्रियतावाद
activist	सक्रियतावादी,सक्रियतावादी
activistic	सक्रियतावादी
activity	क्रिया,गतिविधि,क्रियाकलाप
actor	अभिनेता,कर्ता
actress	अभिनेत्री
actual	वास्तविक,असली
actualist	वास्तविकतावादी
actualities	वास्तविकता
actuality	वास्तविकता
actually	सचमुच,वास्तव में,वास्तव में,सचमुच,वस्तुतः
actuarial	बीमांकिक
actuary	बीमांकिक
actuate	प्रवृत्त करना,पे्ररित करना,चालू करना
acuate	नुकीला,कुशाग्र
acuity	तीक्ष्णता,दृष्टि की तिक्षणता
acumen	विदग्धता,कुशाग्रबुद्धि
acupuncture	ऐक्यूपंक्चर
acupuncturist	ऐक्यूपंक्चर विशेषज्ञ
acute	नुकीला,पैना,तीक्ष्ण,कुशाग्र,चतुर,तीव्र,घोर,न्यून
acutely	तीक्ष्णता से,बहुत ही,बहुत ही,बहुत ही तेज़ीसे
acuteness	तीक्ष्णता,तीक्ष्णता,नुकील्,पैनापन
acyclic	अचक्रीय
adactylous	अंगुलिहीन
adage	कहावत,लोकोक्ति
adagio	धीरे-धीरे
